key,draftMode,code,execution,type,correctiveActions,link,key:project
audit-01,false,ABC-001,2005/01/01 08:00,STATIC,Corrective actions for audit 01,https://example.com/project-01,project-01
audit-02,false,DEF-002,2003/03/15 09:30,DYNAMIC,監査02の修正アクション,null,project-02
audit-03,false,GHI-003,2008/12/25 12:45,STATIC,Аудит 03 корректирующие действия,https://example.com/project-03,project-03
audit-04,false,JKL-004,2001/06/30 14:20,DYNAMIC,审计04的纠正措施,https://example.com/project-01,project-01
audit-05,false,MNO-005,2007/05/05 16:55,STATIC,Corrective actions for audit 05,null,project-02
audit-06,false,PQR-006,2010/11/10 18:10,DYNAMIC,Correções para auditoria 06,null,project-03
audit-07,false,STU-007,2004/07/15 20:25,STATIC,監査07の修正アクション,https://example.com/project-01,project-01
audit-08,false,VWX-008,2002/08/20 22:40,DYNAMIC,Аудит 08 корректирующие действия,https://example.com/project-02,project-02
audit-09,false,YZA-009,2006/09/25 00:15,STATIC,审计09的纠正措施,null,project-02
audit-10,false,BCD-010,2018/10/30 01:50,DYNAMIC,Correções para auditoria 10,https://example.com/project-03,project-03
audit-11,true,AVC-011,2019/01/01 09:00,STATIC,Correcciones para la auditoría 11,https://example.com/project-01,project-01
